Age,Gender,Income,Occupation,Marital_Status,Household_Size,Weekly_Order_Frequency,Top_Priorities,Multi_Restaurant_Support,Flexible_Delivery_for_Freshness,Try_New_Food_Recommendations,Preferred_Cuisines,Wants_Personalised_Discounts,App_Frustrations,Sustainability_Importance,Importance_OnTime,Importance_DriverRating,Avg_Spend_Per_Order,Willing_To_Try_New_App,Max_Willingness_To_Pay,Likely_To_Recommend,Pay_Extra_For_Features,Order_Device,Delivery_Timing_Preference,Current_Satisfaction
25-34,Male,15–25K,Employed,Divorced,4,3–5,Fresh/hot food,Yes,Yes,Often,"Fast Food, Japanese",No,"Non-transparent pricing, Cold food, Bad customer support, Limited restaurant choice",Often,4,4,10–25,Yes,50–75,4,Yes,Mobile App,Depends,7
25-34,Female,8–15K,Self-Employed,Married,4,1–2,Variety of restaurants,No,No,Never,"Mexican, Indian, Italian",No,"Poor packaging, Driver behavior",Often,5,5,25–50,No,50–75,2,Depends,Mobile App,Depends,10
35-44,Male,8–15K,Retired,Divorced,6,1–2,"Customization, Fresh/hot food, Sustainability",Yes,Depends,Often,"Japanese, Mexican, Indian, Italian",Yes,Non-transparent pricing,Sometimes,3,1,50–75,No,30–50,3,No,WhatsApp,ASAP,7
25-34,Female,15–25K,Employed,Other,4,0,"Sustainability, Discounts, Fast delivery",Yes,No,Sometimes,"Mexican, Japanese",Yes,"Poor packaging, Late delivery",Always,1,2,50–75,Yes,30–50,2,No,Mobile App,Schedule,3
18-24,Male,4–8K,Retired,Other,2,0,"Low price, Sustainability, Variety of restaurants",Yes,Yes,Rarely,"Japanese, Mexican, Italian",Yes,"Poor packaging, Late delivery, Bad customer support, Limited restaurant choice",Rarely,4,4,75–100,Maybe,75–100,4,No,WhatsApp,Depends,7
35-44,Non-binary,4–8K,Employed,Other,2,1–2,"Sustainability, Healthy options",Yes,No,Sometimes,"Vegan, Fast Food, Mexican, Japanese",Yes,"Lack of discounts, Poor packaging, Limited restaurant choice, Bad customer support",Rarely,3,3,75–100,Maybe,50–75,2,Depends,Mobile App,ASAP,7
25-34,Male,4–8K,Self-Employed,Divorced,5,1–2,"Sustainability, Customization",Yes,Depends,Often,"Fast Food, Mexican, Indian",Yes,"Late delivery, Non-transparent pricing, Cold food",Sometimes,4,4,25–50,Maybe,50–75,5,No,Mobile App,Schedule,8
45-54,Female,15–25K,Self-Employed,Married,7,1–2,Sustainability,Yes,No,Sometimes,"Arabic, Japanese, Indian, Fast Food",Yes,"Driver behavior, Cold food",Sometimes,3,3,50–75,No,100–150,5,Depends,Mobile App,ASAP,10
55+,Female,0–4K,Homemaker,Single,7,1–2,"Customization, Fresh/hot food",Yes,Yes,Sometimes,"Arabic, Fast Food",Yes,Lack of discounts,Sometimes,5,1,10–25,Maybe,50–75,1,No,Mobile App,ASAP,6
45-54,Female,8–15K,Unemployed,Divorced,5,3–5,"Discounts, Fast delivery",Yes,No,Rarely,"Chinese, Vegan, Fast Food, Mexican",Yes,"Non-transparent pricing, Bad customer support, Lack of discounts, Limited restaurant choice",Never,3,4,10–25,Yes,50–75,2,Yes,Mobile App,ASAP,5
25-34,Female,25K+,Employed,Other,1,3–5,"Customization, Fresh/hot food",Yes,Depends,Often,"Vegan, Japanese, Italian, Arabic",Yes,"Poor packaging, Limited restaurant choice, Cold food",Often,5,2,25–50,Maybe,30–50,4,Yes,Mobile App,Schedule,8
18-24,Female,15–25K,Homemaker,Divorced,7,6+,Fast delivery,No,Yes,Often,"Fast Food, Indian, Mexican",Yes,Limited restaurant choice,Sometimes,4,4,25–50,Maybe,100–150,2,No,Mobile App,Schedule,10
45-54,Female,8–15K,Employed,Other,2,1–2,"Variety of restaurants, Customization",No,No,Often,"Chinese, Japanese, Italian",Neutral,"Poor packaging, Non-transparent pricing, Cold food, Bad customer support",Sometimes,4,3,25–50,Maybe,50–75,3,No,Mobile App,ASAP,8
25-34,Male,4–8K,Homemaker,Single,2,3–5,"Variety of restaurants, Healthy options",Yes,Yes,Sometimes,"Fast Food, Mexican, Chinese",Yes,"Poor packaging, Cold food, Lack of discounts, Late delivery",Never,3,5,25–50,Maybe,50–75,3,No,Website,ASAP,6
55+,Male,15–25K,Self-Employed,Single,7,3–5,"Fresh/hot food, Variety of restaurants",Yes,No,Sometimes,"Indian, Chinese, Vegan, Fast Food",Yes,"Cold food, Late delivery, Poor packaging, Bad customer support",Rarely,4,3,50–75,Yes,50–75,2,Yes,Website,ASAP,9
55+,Female,8–15K,Retired,Married,2,1–2,Sustainability,Yes,No,Sometimes,"Arabic, Vegan",Yes,"Cold food, Driver behavior, Limited restaurant choice",Never,1,4,25–50,Yes,75–100,3,No,WhatsApp,ASAP,10
45-54,Female,4–8K,Homemaker,Other,5,1–2,"Customization, Fresh/hot food",Yes,Yes,Sometimes,"Arabic, Mexican, Indian",Yes,"Limited restaurant choice, Lack of discounts, Non-transparent pricing, Late delivery",Sometimes,3,4,50–75,Yes,75–100,4,Depends,Website,ASAP,5
25-34,Female,4–8K,Employed,Married,6,6+,"Sustainability, Low price, Variety of restaurants",Yes,Yes,Always,"Chinese, Mexican, Indian, Vegan",Neutral,Lack of discounts,Often,4,4,25–50,No,30–50,3,No,Mobile App,Schedule,5
25-34,Male,25K+,Employed,Married,6,1–2,"Discounts, Healthy options",No,No,Sometimes,"Japanese, Indian, Mexican",Yes,"Non-transparent pricing, Driver behavior, Bad customer support, Cold food",Sometimes,3,3,25–50,Yes,50–75,2,No,Mobile App,Schedule,7
45-54,Male,8–15K,Unemployed,Single,4,1–2,"Discounts, Sustainability, Variety of restaurants",Yes,Yes,Sometimes,"Japanese, Fast Food, Italian",Yes,"Bad customer support, Lack of discounts",Sometimes,2,2,10–25,Yes,50–75,4,Depends,Phone Call,ASAP,7
25-34,Male,15–25K,Self-Employed,Divorced,6,1–2,Variety of restaurants,No,Yes,Sometimes,"Vegan, Arabic, Italian, Fast Food",Neutral,"Lack of discounts, Late delivery",Sometimes,3,3,25–50,Yes,30–50,5,No,Mobile App,ASAP,10
25-34,Female,15–25K,Employed,Divorced,3,1–2,"Healthy options, Discounts, Sustainability",Yes,Depends,Often,"Italian, Fast Food, Vegan, Mexican",Yes,"Bad customer support, Poor packaging, Late delivery",Always,3,1,10–25,No,75–100,3,Yes,Mobile App,Schedule,6
35-44,Male,8–15K,Student,Married,5,3–5,"Fresh/hot food, Discounts",No,Yes,Rarely,"Vegan, Chinese",Yes,Poor packaging,Sometimes,3,4,50–75,Maybe,30–50,2,Depends,Website,ASAP,8
45-54,Male,8–15K,Retired,Single,2,3–5,Customization,Yes,Yes,Sometimes,"Mexican, Italian",Yes,"Late delivery, Lack of discounts",Often,2,5,50–75,No,50–75,2,Yes,Mobile App,Depends,10
35-44,Female,8–15K,Homemaker,Other,7,1–2,Fast delivery,Yes,Depends,Often,"Chinese, Mexican, Japanese",Yes,"Lack of discounts, Non-transparent pricing",Rarely,5,4,25–50,No,50–75,1,Depends,WhatsApp,Depends,7
35-44,Male,8–15K,Unemployed,Divorced,6,1–2,Fresh/hot food,Yes,Yes,Sometimes,"Japanese, Arabic",Neutral,Driver behavior,Always,4,4,25–50,Yes,50–75,2,Yes,Mobile App,ASAP,6
18-24,Female,8–15K,Retired,Married,5,3–5,"Fresh/hot food, Sustainability",Yes,Yes,Often,"Vegan, Mexican, Fast Food, Arabic",Yes,"Late delivery, Poor packaging, Driver behavior, Non-transparent pricing",Sometimes,2,2,75–100,Maybe,50–75,4,Yes,Mobile App,Schedule,8
35-44,Male,15–25K,Self-Employed,Divorced,6,3–5,"Low price, Healthy options",Yes,No,Rarely,"Arabic, Italian, Japanese, Fast Food",Neutral,"Lack of discounts, Late delivery, Poor packaging, Bad customer support",Often,5,2,25–50,Yes,150+,2,Yes,Website,Schedule,6
55+,Female,8–15K,Unemployed,Divorced,1,1–2,Discounts,Yes,No,Often,"Italian, Chinese, Fast Food, Indian",Neutral,"Driver behavior, Poor packaging, Bad customer support, Cold food",Often,3,4,25–50,Yes,50–75,2,Yes,Mobile App,Schedule,7
18-24,Male,15–25K,Homemaker,Other,2,3–5,"Healthy options, Variety of restaurants",Yes,Depends,Rarely,"Chinese, Fast Food",Yes,"Driver behavior, Poor packaging, Late delivery, Non-transparent pricing",Rarely,4,2,50–75,Maybe,30–50,4,Yes,WhatsApp,Schedule,6
25-34,Male,8–15K,Homemaker,Single,1,0,"Sustainability, Fresh/hot food",Yes,Depends,Never,"Arabic, Vegan, Italian, Indian",Yes,"Lack of discounts, Limited restaurant choice",Often,4,3,50–75,No,50–75,4,Yes,Other,ASAP,6
45-54,Male,8–15K,Student,Other,2,1–2,"Discounts, Customization, Variety of restaurants",No,No,Often,"Arabic, Italian, Chinese",Yes,"Bad customer support, Late delivery",Always,4,4,50–75,No,30–50,2,Depends,Mobile App,ASAP,6
35-44,Male,8–15K,Self-Employed,Single,5,3–5,Customization,Yes,Yes,Sometimes,"Fast Food, Chinese, Italian",Yes,"Late delivery, Poor packaging, Driver behavior, Lack of discounts",Always,3,4,50–75,Yes,30–50,4,Depends,Mobile App,Schedule,5
35-44,Male,8–15K,Unemployed,Divorced,4,1–2,"Variety of restaurants, Sustainability, Healthy options",Yes,Yes,Sometimes,"Chinese, Fast Food",Yes,Limited restaurant choice,Sometimes,4,3,10–25,Yes,30–50,2,Depends,Mobile App,Depends,9
35-44,Male,15–25K,Unemployed,Married,6,3–5,"Sustainability, Fresh/hot food, Customization",Yes,Yes,Sometimes,"Indian, Chinese, Vegan",Yes,Late delivery,Sometimes,3,4,25–50,Yes,30–50,3,Depends,Mobile App,ASAP,7
25-34,Female,4–8K,Employed,Other,6,3–5,Low price,No,Yes,Often,"Fast Food, Vegan, Chinese, Indian",Yes,Bad customer support,Often,4,4,25–50,Yes,50–75,1,No,Phone Call,ASAP,9
25-34,Male,8–15K,Student,Single,3,3–5,Customization,Yes,No,Sometimes,"Mexican, Chinese",Neutral,"Non-transparent pricing, Driver behavior",Sometimes,3,2,50–75,Yes,50–75,3,Depends,Mobile App,Depends,2
45-54,Female,4–8K,Student,Divorced,7,1–2,"Variety of restaurants, Fresh/hot food",Yes,No,Always,"Mexican, Italian, Vegan",Yes,"Poor packaging, Non-transparent pricing",Always,3,3,75–100,Yes,30–50,3,No,Mobile App,ASAP,6
45-54,Female,8–15K,Unemployed,Single,1,1–2,"Discounts, Variety of restaurants",Yes,Yes,Always,"Mexican, Japanese, Indian, Vegan",Yes,"Late delivery, Limited restaurant choice, Lack of discounts",Rarely,2,4,25–50,Yes,75–100,2,No,Mobile App,Depends,5
45-54,Female,8–15K,Unemployed,Single,6,1–2,Customization,No,Depends,Often,"Vegan, Indian",No,Poor packaging,Rarely,3,3,10–25,No,30–50,3,Depends,Mobile App,Schedule,6
45-54,Male,8–15K,Retired,Single,5,1–2,Discounts,No,Yes,Sometimes,"Mexican, Italian",Yes,"Cold food, Poor packaging, Non-transparent pricing, Driver behavior",Never,4,1,25–50,Maybe,100–150,3,Yes,Phone Call,Schedule,5
25-34,Male,25K+,Retired,Divorced,4,3–5,Fresh/hot food,Yes,Yes,Sometimes,"Japanese, Mexican, Italian",Yes,Driver behavior,Rarely,5,5,25–50,No,50–75,2,Depends,Mobile App,ASAP,3
25-34,Male,8–15K,Retired,Married,7,3–5,Healthy options,Yes,No,Often,"Mexican, Italian, Arabic",Yes,"Limited restaurant choice, Lack of discounts",Often,4,2,25–50,Maybe,30–50,3,No,Mobile App,ASAP,8
35-44,Male,15–25K,Student,Married,5,3–5,"Fast delivery, Low price",Yes,Yes,Rarely,"Italian, Indian, Mexican, Chinese",Yes,"Late delivery, Lack of discounts, Bad customer support",Often,3,3,50–75,Yes,100–150,3,Yes,Mobile App,Schedule,5
35-44,Prefer not to say,8–15K,Employed,Married,1,6+,"Discounts, Variety of restaurants, Low price",Yes,Yes,Sometimes,"Chinese, Indian",Yes,"Driver behavior, Poor packaging",Sometimes,2,4,100+,No,50–75,3,Yes,Website,ASAP,8
35-44,Male,8–15K,Homemaker,Single,3,3–5,Low price,Yes,Yes,Rarely,"Mexican, Arabic, Indian",Yes,Limited restaurant choice,Always,4,3,25–50,Yes,50–75,1,Yes,Website,Schedule,4
35-44,Female,4–8K,Retired,Divorced,6,1–2,"Fast delivery, Low price",Yes,Yes,Rarely,"Fast Food, Japanese",Yes,"Cold food, Driver behavior",Often,2,4,25–50,Yes,30–50,3,Depends,Website,ASAP,3
45-54,Female,4–8K,Employed,Single,5,1–2,"Low price, Fast delivery, Fresh/hot food",No,No,Rarely,"Fast Food, Chinese",Neutral,Non-transparent pricing,Always,3,2,25–50,Yes,75–100,3,Depends,Mobile App,ASAP,7
25-34,Female,8–15K,Self-Employed,Married,7,3–5,"Low price, Variety of restaurants, Fast delivery",Yes,Depends,Sometimes,"Chinese, Arabic",Yes,"Bad customer support, Driver behavior, Lack of discounts",Often,2,5,25–50,Yes,50–75,2,Yes,Mobile App,ASAP,8
25-34,Female,8–15K,Retired,Married,2,1–2,"Sustainability, Fresh/hot food",Yes,Yes,Often,"Vegan, Chinese",Yes,"Driver behavior, Non-transparent pricing, Late delivery, Lack of discounts",Sometimes,3,3,25–50,No,30–50,4,Yes,Other,ASAP,5
18-24,Male,0–4K,Homemaker,Divorced,4,0,Discounts,Yes,Yes,Sometimes,"Italian, Mexican",Yes,"Bad customer support, Lack of discounts, Limited restaurant choice, Late delivery",Often,4,4,50–75,Yes,30–50,1,Yes,Other,Depends,5
35-44,Male,4–8K,Self-Employed,Single,7,1–2,"Discounts, Fresh/hot food, Sustainability",Yes,No,Sometimes,"Fast Food, Italian, Japanese, Mexican",Yes,"Driver behavior, Late delivery, Poor packaging",Always,1,2,10–25,Maybe,75–100,2,Depends,Mobile App,ASAP,9
18-24,Female,4–8K,Self-Employed,Other,5,3–5,"Fresh/hot food, Discounts, Healthy options",No,Depends,Rarely,"Indian, Japanese",Yes,"Cold food, Late delivery",Sometimes,5,4,100+,Maybe,30–50,3,Yes,Website,Depends,7
25-34,Male,25K+,Homemaker,Other,4,1–2,Customization,Yes,Yes,Sometimes,"Mexican, Fast Food, Indian, Italian",Neutral,"Bad customer support, Non-transparent pricing, Poor packaging, Late delivery",Always,3,3,50–75,Yes,30–50,5,Depends,WhatsApp,Schedule,5
25-34,Male,8–15K,Retired,Married,6,3–5,"Healthy options, Customization, Discounts",Yes,Yes,Sometimes,"Fast Food, Arabic, Japanese",Yes,Bad customer support,Never,3,2,50–75,Yes,50–75,1,No,Mobile App,ASAP,4
25-34,Male,8–15K,Student,Divorced,2,3–5,Fast delivery,Yes,No,Often,"Fast Food, Japanese, Arabic, Vegan",Yes,"Lack of discounts, Poor packaging",Often,4,2,25–50,No,75–100,3,Depends,Mobile App,ASAP,5
35-44,Male,4–8K,Homemaker,Single,3,1–2,"Healthy options, Low price, Discounts",Yes,No,Always,"Vegan, Japanese",Yes,"Lack of discounts, Non-transparent pricing, Poor packaging, Driver behavior",Sometimes,3,2,50–75,Yes,30–50,4,No,Mobile App,Depends,6
18-24,Male,8–15K,Homemaker,Single,7,0,Variety of restaurants,No,Yes,Rarely,"Fast Food, Mexican",Yes,"Poor packaging, Driver behavior, Late delivery, Non-transparent pricing",Often,2,4,25–50,Yes,30–50,3,No,WhatsApp,ASAP,8
18-24,Male,4–8K,Homemaker,Married,3,1–2,"Fresh/hot food, Customization",Yes,No,Sometimes,"Fast Food, Japanese, Chinese",Yes,"Poor packaging, Late delivery",Always,2,5,25–50,Maybe,75–100,2,No,Mobile App,Depends,7
45-54,Female,4–8K,Self-Employed,Married,2,3–5,Fast delivery,No,Yes,Sometimes,"Chinese, Vegan",Yes,"Driver behavior, Cold food, Non-transparent pricing, Late delivery",Often,4,5,25–50,Maybe,30–50,2,Depends,Website,Schedule,6
25-34,Female,8–15K,Employed,Single,4,3–5,"Low price, Variety of restaurants",Yes,Yes,Always,"Japanese, Vegan, Arabic, Indian",Yes,"Driver behavior, Non-transparent pricing, Late delivery",Sometimes,4,3,75–100,No,50–75,1,Depends,Mobile App,Depends,5
18-24,Female,0–4K,Student,Single,6,3–5,Variety of restaurants,No,Yes,Often,"Arabic, Vegan",Yes,Non-transparent pricing,Rarely,3,5,25–50,Yes,100–150,3,No,Mobile App,Schedule,10
25-34,Male,0–4K,Retired,Married,5,3–5,"Customization, Fresh/hot food, Variety of restaurants",Yes,Depends,Often,"Japanese, Indian, Arabic, Vegan",Yes,Limited restaurant choice,Sometimes,5,2,25–50,Yes,75–100,1,No,Mobile App,Schedule,9
35-44,Male,4–8K,Retired,Single,2,1–2,Sustainability,No,Yes,Sometimes,"Indian, Mexican, Japanese, Italian",Yes,"Driver behavior, Cold food, Non-transparent pricing",Always,3,1,25–50,Yes,30–50,4,Depends,Other,Schedule,9
25-34,Male,0–4K,Employed,Other,1,1–2,"Sustainability, Discounts",Yes,Yes,Always,"Mexican, Arabic, Vegan, Chinese",Yes,"Lack of discounts, Bad customer support, Late delivery, Driver behavior",Often,5,3,10–25,Yes,50–75,2,Depends,Mobile App,ASAP,7
35-44,Female,4–8K,Homemaker,Married,4,3–5,Discounts,Yes,Yes,Rarely,"Indian, Chinese, Mexican",Neutral,"Lack of discounts, Cold food, Bad customer support",Often,2,4,25–50,Yes,30–50,2,No,Mobile App,ASAP,8
18-24,Female,8–15K,Student,Single,3,1–2,"Discounts, Healthy options, Variety of restaurants",Yes,Depends,Rarely,"Mexican, Italian, Japanese, Arabic",Yes,"Lack of discounts, Driver behavior, Poor packaging, Limited restaurant choice",Always,2,4,25–50,Yes,100–150,3,Yes,WhatsApp,Schedule,1
18-24,Male,15–25K,Retired,Married,7,1–2,"Low price, Sustainability, Healthy options",Yes,Yes,Often,"Italian, Vegan",No,"Late delivery, Bad customer support, Limited restaurant choice",Often,3,5,50–75,Maybe,150+,3,Yes,Mobile App,Schedule,7
25-34,Female,8–15K,Unemployed,Divorced,2,1–2,"Sustainability, Customization",Yes,Yes,Always,"Indian, Japanese, Italian, Chinese",Yes,"Poor packaging, Bad customer support, Non-transparent pricing",Never,3,3,25–50,No,30–50,4,Depends,Website,ASAP,10
25-34,Male,8–15K,Retired,Married,3,0,"Healthy options, Sustainability, Fresh/hot food",Yes,Yes,Rarely,"Vegan, Fast Food",Yes,"Limited restaurant choice, Bad customer support, Lack of discounts, Cold food",Sometimes,5,3,50–75,No,50–75,3,Yes,Mobile App,Depends,5
35-44,Female,4–8K,Homemaker,Married,4,1–2,"Low price, Sustainability",No,No,Rarely,"Japanese, Arabic, Chinese, Mexican",Yes,"Driver behavior, Lack of discounts, Poor packaging, Non-transparent pricing",Sometimes,4,4,50–75,Maybe,75–100,3,Yes,Mobile App,ASAP,5
35-44,Female,25K+,Unemployed,Divorced,3,1–2,Fresh/hot food,Yes,Yes,Never,"Arabic, Fast Food, Indian",Yes,"Cold food, Late delivery",Sometimes,2,5,25–50,Yes,30–50,1,Yes,Mobile App,ASAP,6
55+,Female,8–15K,Employed,Other,2,1–2,"Discounts, Low price, Healthy options",No,Yes,Rarely,"Arabic, Vegan",Yes,Poor packaging,Rarely,3,2,50–75,Yes,30–50,5,No,Other,ASAP,5
25-34,Female,4–8K,Student,Single,4,1–2,Variety of restaurants,No,Yes,Sometimes,"Japanese, Arabic, Fast Food",Yes,"Late delivery, Lack of discounts, Bad customer support, Non-transparent pricing",Often,3,4,50–75,Maybe,30–50,2,No,Mobile App,ASAP,5
25-34,Female,8–15K,Employed,Divorced,1,3–5,"Discounts, Low price, Fresh/hot food",Yes,Depends,Always,"Chinese, Japanese, Fast Food",No,"Non-transparent pricing, Cold food, Driver behavior, Poor packaging",Sometimes,2,4,50–75,Maybe,50–75,4,Yes,Website,Depends,7
35-44,Male,4–8K,Employed,Married,2,3–5,"Discounts, Fresh/hot food",Yes,Yes,Often,"Mexican, Fast Food",Yes,"Bad customer support, Lack of discounts, Non-transparent pricing, Poor packaging",Rarely,3,4,50–75,Yes,75–100,4,Yes,Mobile App,ASAP,8
25-34,Female,8–15K,Student,Single,5,1–2,Sustainability,Yes,No,Often,"Indian, Mexican, Chinese, Vegan",Yes,"Bad customer support, Driver behavior, Limited restaurant choice",Always,3,3,50–75,Yes,100–150,3,Depends,Mobile App,ASAP,7
25-34,Male,8–15K,Student,Divorced,6,3–5,"Healthy options, Discounts, Variety of restaurants",Yes,Depends,Often,"Japanese, Arabic, Italian",Yes,Driver behavior,Often,2,3,10–25,No,30–50,3,Depends,Mobile App,Depends,4
18-24,Female,15–25K,Retired,Single,2,1–2,"Low price, Variety of restaurants",Yes,Depends,Sometimes,"Chinese, Indian, Vegan",No,"Limited restaurant choice, Driver behavior",Never,2,4,50–75,Yes,30–50,3,Yes,Phone Call,Depends,5
18-24,Female,8–15K,Retired,Single,4,1–2,Variety of restaurants,No,Yes,Often,"Mexican, Japanese, Vegan, Italian",No,"Limited restaurant choice, Non-transparent pricing",Sometimes,4,2,25–50,Yes,50–75,3,Yes,Mobile App,Schedule,7
55+,Female,15–25K,Student,Divorced,7,3–5,"Fresh/hot food, Variety of restaurants",Yes,Depends,Sometimes,"Chinese, Vegan, Arabic, Mexican",Yes,Poor packaging,Often,4,2,50–75,Yes,75–100,1,No,Mobile App,ASAP,8
45-54,Male,25K+,Unemployed,Single,6,3–5,"Fresh/hot food, Fast delivery, Sustainability",Yes,Yes,Sometimes,"Vegan, Mexican, Fast Food, Italian",No,"Driver behavior, Bad customer support",Sometimes,4,5,25–50,Maybe,50–75,3,Depends,Website,ASAP,6
35-44,Female,4–8K,Self-Employed,Other,2,3–5,"Fast delivery, Healthy options, Sustainability",Yes,Yes,Sometimes,"Mexican, Japanese, Chinese, Vegan",Yes,"Lack of discounts, Bad customer support",Often,3,4,75–100,Yes,50–75,5,Depends,Mobile App,ASAP,5
25-34,Female,4–8K,Retired,Divorced,1,1–2,"Variety of restaurants, Sustainability",No,Depends,Sometimes,"Fast Food, Arabic",Yes,"Limited restaurant choice, Cold food, Lack of discounts, Non-transparent pricing",Often,2,5,25–50,Maybe,50–75,3,Depends,Mobile App,ASAP,8
25-34,Female,8–15K,Self-Employed,Other,7,0,"Sustainability, Discounts",Yes,Yes,Often,"Chinese, Vegan, Italian, Mexican",Yes,"Cold food, Poor packaging, Bad customer support, Non-transparent pricing",Often,3,4,50–75,Yes,30–50,3,Depends,Mobile App,ASAP,10
25-34,Male,8–15K,Unemployed,Married,1,3–5,Variety of restaurants,Yes,Yes,Always,"Chinese, Arabic",No,"Bad customer support, Driver behavior, Lack of discounts",Often,4,5,50–75,Yes,50–75,2,Yes,Mobile App,Schedule,9
25-34,Male,8–15K,Student,Single,5,1–2,"Fast delivery, Sustainability",Yes,Yes,Sometimes,"Chinese, Vegan",Neutral,"Lack of discounts, Poor packaging",Sometimes,2,3,75–100,Maybe,150+,3,Yes,Mobile App,ASAP,10
25-34,Male,25K+,Unemployed,Married,7,1–2,Healthy options,Yes,No,Often,"Mexican, Fast Food, Italian, Vegan",Neutral,"Non-transparent pricing, Poor packaging",Sometimes,5,4,50–75,Yes,30–50,2,No,Phone Call,Depends,5
35-44,Male,15–25K,Retired,Married,3,3–5,"Sustainability, Low price, Fresh/hot food",No,Yes,Rarely,"Arabic, Vegan, Italian, Fast Food",Yes,Driver behavior,Rarely,2,2,25–50,Yes,50–75,4,Depends,Mobile App,ASAP,9
35-44,Female,8–15K,Employed,Single,7,3–5,Fast delivery,No,No,Often,"Japanese, Fast Food, Italian",Neutral,Poor packaging,Always,4,1,75–100,Yes,30–50,4,No,Mobile App,Depends,9
25-34,Male,8–15K,Student,Divorced,6,3–5,"Variety of restaurants, Fresh/hot food",Yes,Depends,Sometimes,"Fast Food, Vegan",Yes,Late delivery,Rarely,2,3,50–75,No,50–75,5,Depends,Website,Depends,6
55+,Non-binary,15–25K,Homemaker,Single,7,1–2,Customization,Yes,No,Never,"Chinese, Vegan, Fast Food, Arabic",Yes,"Driver behavior, Cold food, Non-transparent pricing",Often,3,2,50–75,Yes,50–75,1,Depends,Mobile App,ASAP,5
35-44,Male,25K+,Self-Employed,Married,4,3–5,"Variety of restaurants, Fresh/hot food, Discounts",Yes,Yes,Sometimes,"Indian, Chinese, Italian",Yes,"Poor packaging, Limited restaurant choice, Late delivery, Cold food",Often,1,1,75–100,Yes,50–75,4,Depends,WhatsApp,Depends,5
35-44,Male,15–25K,Unemployed,Married,4,0,Customization,Yes,Depends,Often,"Mexican, Italian, Japanese, Chinese",Yes,Bad customer support,Rarely,5,4,25–50,No,75–100,4,Yes,Mobile App,Schedule,7
35-44,Female,0–4K,Student,Divorced,3,0,"Low price, Fast delivery",Yes,Yes,Rarely,"Indian, Fast Food, Japanese, Mexican",Yes,Bad customer support,Often,4,1,25–50,Yes,50–75,3,Yes,Mobile App,ASAP,4
25-34,Female,8–15K,Unemployed,Single,7,3–5,"Customization, Fast delivery",Yes,Yes,Always,"Italian, Chinese, Vegan, Indian",Yes,"Poor packaging, Cold food, Bad customer support, Lack of discounts",Always,4,5,50–75,Yes,50–75,4,Depends,Mobile App,ASAP,10
25-34,Female,4–8K,Student,Married,1,0,"Fast delivery, Customization, Discounts",Yes,Yes,Rarely,"Mexican, Indian, Vegan",Neutral,"Driver behavior, Non-transparent pricing, Cold food, Limited restaurant choice",Always,3,5,50–75,No,30–50,3,Yes,Mobile App,ASAP,4
25-34,Female,4–8K,Retired,Other,1,1–2,"Fresh/hot food, Variety of restaurants",No,Yes,Always,"Fast Food, Indian, Mexican, Italian",Yes,"Cold food, Driver behavior",Often,2,2,25–50,Yes,75–100,5,Yes,Mobile App,Schedule,8
35-44,Female,4–8K,Retired,Married,2,3–5,"Fast delivery, Fresh/hot food",Yes,Yes,Often,"Japanese, Arabic",Yes,"Bad customer support, Poor packaging",Sometimes,4,4,50–75,Yes,30–50,1,Depends,Mobile App,Schedule,2
18-24,Male,8–15K,Retired,Married,5,1–2,Variety of restaurants,No,Yes,Sometimes,"Japanese, Italian, Arabic",Neutral,Limited restaurant choice,Never,2,5,25–50,No,75–100,2,Depends,Mobile App,Schedule,10
18-24,Prefer not to say,8–15K,Unemployed,Divorced,6,1–2,"Healthy options, Sustainability, Fresh/hot food",Yes,Yes,Sometimes,"Chinese, Indian, Japanese",Yes,"Non-transparent pricing, Bad customer support, Cold food",Sometimes,3,3,50–75,Maybe,30–50,3,Yes,Mobile App,ASAP,9
18-24,Non-binary,4–8K,Homemaker,Other,5,1–2,"Discounts, Fresh/hot food",Yes,Yes,Often,"Mexican, Italian, Japanese, Vegan",Yes,"Driver behavior, Lack of discounts",Rarely,2,4,75–100,Yes,30–50,4,Depends,Mobile App,Depends,3
18-24,Female,8–15K,Retired,Married,7,1–2,"Fresh/hot food, Low price, Healthy options",No,No,Often,"Indian, Arabic, Italian",Yes,Cold food,Sometimes,3,5,25–50,Yes,30–50,4,Yes,Mobile App,Depends,7
45-54,Male,8–15K,Student,Married,5,1–2,"Variety of restaurants, Low price",Yes,Depends,Often,"Arabic, Fast Food, Indian",Yes,"Poor packaging, Lack of discounts, Driver behavior, Bad customer support",Rarely,1,1,50–75,No,150+,2,Yes,Mobile App,Schedule,6
35-44,Female,8–15K,Retired,Other,2,3–5,Healthy options,Yes,No,Sometimes,"Chinese, Mexican, Italian, Indian",Yes,"Limited restaurant choice, Driver behavior",Always,2,2,50–75,Yes,50–75,5,No,Mobile App,ASAP,7
25-34,Male,4–8K,Employed,Single,5,3–5,Customization,Yes,Yes,Sometimes,"Fast Food, Japanese",Yes,Cold food,Rarely,2,4,25–50,Yes,30–50,3,Depends,Mobile App,Schedule,8
18-24,Male,8–15K,Retired,Single,3,1–2,"Discounts, Fast delivery",Yes,Yes,Always,"Arabic, Fast Food, Chinese",No,Late delivery,Often,4,5,25–50,Yes,30–50,2,Yes,Website,ASAP,5
